0x00020000; UL; FileMetaInformationGroupLength; File Meta Information Group Length
0x00189104; FD; SlabThickness; Slab Thickness
0x00189105; FD; SlabOrientation; Slab Orientation
0x00189106; FD; MidSlabPosition; Mid Slab Position
0x00189107; SQ; MRSpatialSaturationSequence; MR Spatial Saturation Sequence
0x00189112; SQ; MRTimingAndRelatedParametersSequence; MR Timing and Related Parameters Sequence
0x00189114; SQ; MREchoSequence; MR Echo Sequence
0x00189115; SQ; MRModifierSequence; MR Modifier Sequence
0x00189117; SQ; MRDiffusionSequence; MR Diffusion Sequence
0x00189118; SQ; CardiacSynchronizationSequence; Cardiac Synchronization Sequence
0x00189119; SQ; MRAveragesSequence; MR Averages Sequence
0x00189125; SQ; MRFOVGeometrySequence; MR FOV/Geometry Sequence
0x00189126; SQ; VolumeLocalizationSequence; Volume Localization Sequence
0x00189127; UL; SpectroscopyAcquisitionDataColumns; Spectroscopy Acquisition Data Columns
0x00189147; CS; DiffusionAnisotropyType; Diffusion Anisotropy Type
0x00189151; DT; FrameReferenceDateTime; Frame Reference DateTime
0x00189152; SQ; MRMetaboliteMapSequence; MR Metabolite Map Sequence
0x00189155; FD; ParallelReductionFactorOutOfPlane; Parallel Reduction Factor out-of-plane
0x00189159; UL; SpectroscopyAcquisitionOutOfPlanePhaseSteps; Spectroscopy Acquisition Out-of-plane Phase Steps
0x00189168; FD; ParallelReductionFactorSecondInPlane; Parallel Reduction Factor Second In-plane
0x00189169; CS; CardiacBeatRejectionTechnique; Cardiac Beat Rejection Technique
0x00189170; CS; RespiratoryMotionCompensationTechnique; Respiratory Motion Compensation Technique
0x00189171; CS; RespiratorySignalSource; Respiratory Signal Source
0x00189172; CS; BulkMotionCompensationTechnique; Bulk Motion Compensation Technique
0x00189173; CS; BulkMotionSignalSource; Bulk Motion Signal Source
0x00189174; CS; ApplicableSafetyStandardAgency; Applicable Safety Standard Agency
0x00189175; LO; ApplicableSafetyStandardDescription; Applicable Safety Standard Description
0x00189176; SQ; OperatingModeSequence; Operating Mode Sequence
0x00189177; CS; OperatingModeType; Operating Mode Type
0x00189178; CS; OperatingMode; Operating Mode
0x00189179; CS; SpecificAbsorptionRateDefinition; Specific Absorption Rate Definition
0x00189180; CS; GradientOutputType; Gradient Output Type
0x00189181; FD; SpecificAbsorptionRateValue; Specific Absorption Rate Value
0x00189182; FD; GradientOutput; Gradient Output
0x00189183; CS; FlowCompensationDirection; Flow Compensation Direction
0x00189184; FD; TaggingDelay; Tagging Delay
0x00189185; ST; RespiratoryMotionCompensationTechniqueDescription; Respiratory Motion Compensation Technique Description
0x00189186; SH; RespiratorySignalSourceID; Respiratory Signal Source ID
0x00189197; SQ; MRVelocityEncodingSequence; MR Velocity Encoding Sequence
0x00189198; CS; FirstOrderPhaseCorrection; First Order Phase Correction
0x00189199; CS; WaterReferencedPhaseCorrection; Water Referenced Phase Correction
0x00189200; CS; MRSpectroscopyAcquisitionType; MR Spectroscopy Acquisition Type
0x00189214; CS; RespiratoryCyclePosition; Respiratory Cycle Position
0x00189217; FD; VelocityEncodingMaximumValue; Velocity Encoding Maximum Value
0x00189218; FD; TagSpacingSecondDimension; Tag Spacing Second Dimension
0x00189219; SS; TagAngleSecondAxis; Tag Angle Second Axis
0x00189220; FD; FrameAcquisitionDuration; Frame Acquisition Duration
0x00189226; SQ; MRImageFrameTypeSequence; MR Image Frame Type Sequence
0x00189227; SQ; MRSpectroscopyFrameTypeSequence; MR Spectroscopy Frame Type Sequence
0x00189231; US; MRAcquisitionPhaseEncodingStepsInPlane; MR Acquisition Phase Encoding Steps in-plane
0x00189232; US; MRAcquisitionPhaseEncodingStepsOutOfPlane; MR Acquisition Phase Encoding Steps out-of-plane
0x00189234; UL; SpectroscopyAcquisitionPhaseColumns; Spectroscopy Acquisition Phase Columns
0x00189236; CS; CardiacCyclePosition; Cardiac Cycle Position
0x00189239; SQ; SpecificAbsorptionRateSequence; Specific Absorption Rate Sequence
0x00189240; US; RFEchoTrainLength; RF Echo Train Length
0x00189241; US; GradientEchoTrainLength; Gradient Echo Train Length
0x00189250; CS; ArterialSpinLabelingContrast; Arterial Spin Labeling Contrast
0x00189251; SQ; MRArterialSpinLabelingSequence; MR Arterial Spin Labeling Sequence
0x00189252; LO; ASLTechniqueDescription; ASL Technique Description
0x00189253; US; ASLSlabNumber; ASL Slab Number
0x00189254; FD; ASLSlabThickness; ASL Slab Thickness
0x00189255; FD; ASLSlabOrientation; ASL Slab Orientation
0x00189256; FD; ASLMidSlabPosition; ASL Mid Slab Position
0x00189257; CS; ASLContext; ASL Context
0x00189258; UL; ASLPulseTrainDuration; ASL Pulse Train Duration
0x00189259; CS; ASLCrusherFlag; ASL Crusher Flag
0x0018925A; FD; ASLCrusherFlowLimit; ASL Crusher Flow Limit
0x0018925B; LO; ASLCrusherDescription; ASL Crusher Description
0x0018925C; CS; ASLBolusCutoffFlag; ASL Bolus Cut-off Flag
0x0018925D; SQ; ASLBolusCutoffTimingSequence; ASL Bolus Cut-off Timing Sequence
0x0018925E; LO; ASLBolusCutoffTechnique; ASL Bolus Cut-off Technique
0x0018925F; UL; ASLBolusCutoffDelayTime; ASL Bolus Cut-off Delay Time
0x00189260; SQ; ASLSlabSequence; ASL Slab Sequence
0x00189295; FD; ChemicalShiftMinimumIntegrationLimitInppm; Chemical Shift Minimum Integration Limit in ppm
0x00189296; FD; ChemicalShiftMaximumIntegrationLimitInppm; Chemical Shift Maximum Integration Limit in ppm
0x00189297; CS; WaterReferenceAcquisition; Water Reference Acquisition
0x00189298; IS; EchoPeakPosition; Echo Peak Position
0x00189301; SQ; CTAcquisitionTypeSequence; CT Acquisition Type Sequence
0x00189302; CS; AcquisitionType; Acquisition Type
0x00189303; FD; TubeAngle; Tube Angle
0x00189304; SQ; CTAcquisitionDetailsSequence; CT Acquisition Details Sequence
0x00189305; FD; RevolutionTime; Revolution Time
0x00189306; FD; SingleCollimationWidth; Single Collimation Width
0x00189307; FD; TotalCollimationWidth; Total Collimation Width
0x00189308; SQ; CTTableDynamicsSequence; CT Table Dynamics Sequence
0x00189309; FD; TableSpeed; Table Speed
0x00189310; FD; TableFeedPerRotation; Table Feed per Rotation
0x00189311; FD; SpiralPitchFactor; Spiral Pitch Factor
0x00189312; SQ; CTGeometrySequence; CT Geometry Sequence
0x00189313; FD; DataCollectionCenterPatient; Data Collection Center (Patient)
0x00189314; SQ; CTReconstructionSequence; CT Reconstruction Sequence
0x00189315; CS; ReconstructionAlgorithm; Reconstruction Algorithm
0x00189316; CS; ConvolutionKernelGroup; Convolution Kernel Group
0x00189317; FD; ReconstructionFieldOfView; Reconstruction Field of View
0x00189318; FD; ReconstructionTargetCenterPatient; Reconstruction Target Center (Patient)
0x00189319; FD; ReconstructionAngle; Reconstruction Angle
0x00189320; SH; ImageFilter; Image Filter
0x00189321; SQ; CTExposureSequence; CT Exposure Sequence
0x00189322; FD; ReconstructionPixelSpacing; Reconstruction Pixel Spacing
0x00189323; CS; ExposureModulationType; Exposure Modulation Type
0x00189324; FD; EstimatedDoseSaving; Estimated Dose Saving
0x00189325; SQ; CTXRayDetailsSequence; CT X-Ray Details Sequence
0x00189326; SQ; CTPositionSequence; CT Position Sequence
0x00189327; FD; TablePosition; Table Position
0x00189328; FD; ExposureTimeInms; Exposure Time in ms
0x00189329; SQ; CTImageFrameTypeSequence; CT Image Frame Type Sequence
0x00189330; FD; XRayTubeCurrentInmA; X-Ray Tube Current in mA
0x00189332; FD; ExposureInmAs; Exposure in mAs
0x00189333; CS; ConstantVolumeFlag; Constant Volume Flag
0x00189334; CS; FluoroscopyFlag; Fluoroscopy Flag
0x00189335; FD; DistanceSourceToDataCollectionCenter; Distance Source to Data Collection Center
0x00189337; US; ContrastBolusAgentNumber; Contrast/Bolus Agent Number
0x00189338; SQ; ContrastBolusIngredientCodeSequence; Contrast/Bolus Ingredient Code Sequence
0x00189340; SQ; ContrastAdministrationProfileSequence; Contrast Administration Profile Sequence
0x00189341; SQ; ContrastBolusUsageSequence; Contrast/Bolus Usage Sequence
0x00189342; CS; ContrastBolusAgentAdministered; Contrast/Bolus Agent Administered
0x00189343; CS; ContrastBolusAgentDetected; Contrast/Bolus Agent Detected
0x00189344; CS; ContrastBolusAgentPhase; Contrast/Bolus Agent Phase
0x00189345; FD; CTDIvol; CTDIvol
0x00189346; SQ; CTDIPhantomTypeCodeSequence; CTDI Phantom Type Code Sequence
0x00189351; FL; CalciumScoringMassFactorPatient; Calcium Scoring Mass Factor Patient
0x00189352; FL; CalciumScoringMassFactorDevice; Calcium Scoring Mass Factor Device
0x00189353; FL; EnergyWeightingFactor; Energy Weighting Factor
0x00189360; SQ; CTAdditionalXRaySourceSequence; CT Additional X-Ray Source Sequence
0x00189401; SQ; ProjectionPixelCalibrationSequence; Projection Pixel Calibration Sequence
0x00189402; FL; DistanceSourceToIsocenter; Distance Source to Isocenter
0x00189403; FL; DistanceObjectToTableTop; Distance Object to Table Top
0x00189404; FL; ObjectPixelSpacingInCenterOfBeam; Object Pixel Spacing in Center of Beam
0x00189405; SQ; PositionerPositionSequence; Positioner Position Sequence
0x00189406; SQ; TablePositionSequence; Table Position Sequence
0x00189407; SQ; CollimatorShapeSequence; Collimator Shape Sequence
0x00189410; CS; PlanesInAcquisition; Planes in Acquisition
0x00189412; SQ; XAXRFFrameCharacteristicsSequence; XA/XRF Frame Characteristics Sequence
0x00189417; SQ; FrameAcquisitionSequence; Frame Acquisition Sequence
0x00189420; CS; XRayReceptorType; X-Ray Receptor Type
0x00189423; LO; AcquisitionProtocolName; Acquisition Protocol Name
0x00189424; LT; AcquisitionProtocolDescription; Acquisition Protocol Description
0x00189425; CS; ContrastBolusIngredientOpaque; Contrast/Bolus Ingredient Opaque
0x00189426; FL; DistanceReceptorPlaneToDetectorHousing; Distance Receptor Plane to Detector Housing
0x00189427; CS; IntensifierActiveShape; Intensifier Active Shape
0x00189428; FL; IntensifierActiveDimensions; Intensifier Active Dimension(s)
0x00189429; FL; PhysicalDetectorSize; Physical Detector Size
0x00189430; FL; PositionOfIsocenterProjection; Position of Isocenter Projection
0x00189432; SQ; FieldOfViewSequence; Field of View Sequence
0x00189433; LO; FieldOfViewDescription; Field of View Description
0x00189434; SQ; ExposureControlSensingRegionsSequence; Exposure Control Sensing Regions Sequence
0x00189435; CS; ExposureControlSensingRegionShape; Exposure Control Sensing Region Shape
0x00189436; SS; ExposureControlSensingRegionLeftVerticalEdge; Exposure Control Sensing Region Left Vertical Edge
0x00189437; SS; ExposureControlSensingRegionRightVerticalEdge; Exposure Control Sensing Region Right Vertical Edge
0x00189438; SS; ExposureControlSensingRegionUpperHorizontalEdge; Exposure Control Sensing Region Upper Horizontal Edge
0x00189439; SS; ExposureControlSensingRegionLowerHorizontalEdge; Exposure Control Sensing Region Lower Horizontal Edge
0x00189440; SS; CenterOfCircularExposureControlSensingRegion; Center of Circular Exposure Control Sensing Region
0x00189441; US; RadiusOfCircularExposureControlSensingRegion; Radius of Circular Exposure Control Sensing Region
0x00189442; SS; VerticesOfThePolygonalExposureControlSensingRegion; Vertices of the Polygonal Exposure Control Sensing Region
0x00189447; FL; ColumnAngulationPatient; Column Angulation (Patient)
0x00189449; FL; BeamAngle; Beam Angle
0x00189451; SQ; FrameDetectorParametersSequence; Frame Detector Parameters Sequence
0x00189452; FL; CalculatedAnatomyThickness; Calculated Anatomy Thickness
0x00189455; SQ; CalibrationSequence; Calibration Sequence
0x00189456; SQ; ObjectThicknessSequence; Object Thickness Sequence
0x00189457; CS; PlaneIdentification; Plane Identification
0x00189461; FL; FieldOfViewDimensionsInFloat; Field of View Dimension(s) in Float
0x00189462; SQ; IsocenterReferenceSystemSequence; Isocenter Reference System Sequence
0x00189463; FL; PositionerIsocenterPrimaryAngle; Positioner Isocenter Primary Angle
0x00189464; FL; PositionerIsocenterSecondaryAngle; Positioner Isocenter Secondary Angle
0x00189465; FL; PositionerIsocenterDetectorRotationAngle; Positioner Isocenter Detector Rotation Angle
0x00189466; FL; TableXPositionToIsocenter; Table X Position to Isocenter
0x00189467; FL; TableYPositionToIsocenter; Table Y Position to Isocenter
0x00189468; FL; TableZPositionToIsocenter; Table Z Position to Isocenter
0x00189469; FL; TableHorizontalRotationAngle; Table Horizontal Rotation Angle
0x00189470; FL; TableHeadTiltAngle; Table Head Tilt Angle
0x00189471; FL; TableCradleTiltAngle; Table Cradle Tilt Angle
0x00189472; SQ; FrameDisplayShutterSequence; Frame Display Shutter Sequence
0x00189473; FL; AcquiredImageAreaDoseProduct; Acquired Image Area Dose Product
0x00189474; CS; CArmPositionerTabletopRelationship; C-arm Positioner Tabletop Relationship
0x00189476; SQ; XRayGeometrySequence; X-Ray Geometry Sequence
0x00189477; SQ; IrradiationEventIdentificationSequence; Irradiation Event Identification Sequence
0x00189504; SQ; XRay3DFrameTypeSequence; X-Ray 3D Frame Type Sequence
0x00189506; SQ; ContributingSourcesSequence; Contributing Sources Sequence
0x00189507; SQ; XRay3DAcquisitionSequence; X-Ray 3D Acquisition Sequence
0x00189508; FL; PrimaryPositionerScanArc; Primary Positioner Scan Arc
0x00189509; FL; SecondaryPositionerScanArc; Secondary Positioner Scan Arc
0x00189510; FL; PrimaryPositionerScanStartAngle; Primary Positioner Scan Start Angle
0x00189511; FL; SecondaryPositionerScanStartAngle; Secondary Positioner Scan Start Angle
0x00189514; FL; PrimaryPositionerIncrement; Primary Positioner Increment
0x00189515; FL; SecondaryPositionerIncrement; Secondary Positioner Increment
0x00189516; DT; StartAcquisitionDateTime; Start Acquisition DateTime
0x00189517; DT; EndAcquisitionDateTime; End Acquisition DateTime
0x00189518; SS; PrimaryPositionerIncrementSign; Primary Positioner Increment Sign
0x00189519; SS; SecondaryPositionerIncrementSign; Secondary Positioner Increment Sign
0x00189524; LO; ApplicationName; Application Name
0x00189525; LO; ApplicationVersion; Application Version
0x00189526; LO; ApplicationManufacturer; Application Manufacturer
0x00189527; CS; AlgorithmType; Algorithm Type
0x00189528; LO; AlgorithmDescription; Algorithm Description
0x00189530; SQ; XRay3DReconstructionSequence; X-Ray 3D Reconstruction Sequence
0x00189531; LO; ReconstructionDescription; Reconstruction Description
0x00189538; SQ; PerProjectionAcquisitionSequence; Per Projection Acquisition Sequence
0x00189541; SQ; DetectorPositionSequence; Detector Position Sequence
0x00189542; SQ; XRayAcquisitionDoseSequence; X-Ray Acquisition Dose Sequence
0x00189543; FD; XRaySourceIsocenterPrimaryAngle; X-Ray Source Isocenter Primary Angle
0x00189544; FD; XRaySourceIsocenterSecondaryAngle; X-Ray Source Isocenter Secondary Angle
0x00189545; FD; BreastSupportIsocenterPrimaryAngle; Breast Support Isocenter Primary Angle
0x00189546; FD; BreastSupportIsocenterSecondaryAngle; Breast Support Isocenter Secondary Angle
0x00189547; FD; BreastSupportXPositionToIsocenter; Breast Support X Position to Isocenter
0x00189548; FD; BreastSupportYPositionToIsocenter; Breast Support Y Position to Isocenter
0x00189549; FD; BreastSupportZPositionToIsocenter; Breast Support Z Position to Isocenter
0x00189550; FD; DetectorIsocenterPrimaryAngle; Detector Isocenter Primary Angle
0x00189551; FD; DetectorIsocenterSecondaryAngle; Detector Isocenter Secondary Angle
0x00189552; FD; DetectorXPositionToIsocenter; Detector X Position to Isocenter
0x00189553; FD; DetectorYPositionToIsocenter; Detector Y Position to Isocenter
0x00189554; FD; DetectorZPositionToIsocenter; Detector Z Position to Isocenter
0x00189555; SQ; XRayGridSequence; X-Ray Grid Sequence
0x00189556; SQ; XRayFilterSequence; X-Ray Filter Sequence
0x00189557; FD; DetectorActiveAreaTLHCPosition; Detector Active Area TLHC Position
0x00189558; FD; DetectorActiveAreaOrientation; Detector Active Area Orientation
0x00189559; CS; PositionerPrimaryAngleDirection; Positioner Primary Angle Direction
0x00189601; SQ; DiffusionBMatrixSequence; Diffusion b-matrix Sequence
0x00189602; FD; DiffusionBValueXX; Diffusion b-value XX
0x00189603; FD; DiffusionBValueXY; Diffusion b-value XY
0x00189604; FD; DiffusionBValueXZ; Diffusion b-value XZ
0x00189605; FD; DiffusionBValueYY; Diffusion b-value YY
0x00189606; FD; DiffusionBValueYZ; Diffusion b-value YZ
0x00189607; FD; DiffusionBValueZZ; Diffusion b-value ZZ
0x00189621; SQ; FunctionalMRSequence; Functional MR Sequence
0x00189622; CS; FunctionalSettlingPhaseFramesPresent; Functional Settling Phase Frames Present
0x00189623; DT; FunctionalSyncPulse; Functional Sync Pulse
0x00189624; CS; SettlingPhaseFrame; Settling Phase Frame
0x00189701; DT; DecayCorrectionDateTime; Decay Correction DateTime
0x00189715; FD; StartDensityThreshold; Start Density Threshold
0x00189716; FD; StartRelativeDensityDifferenceThreshold; Start Relative Density Difference Threshold
0x00189717; FD; StartCardiacTriggerCountThreshold; Start Cardiac Trigger Count Threshold
0x00189718; FD; StartRespiratoryTriggerCountThreshold; Start Respiratory Trigger Count Threshold
0x00189719; FD; TerminationCountsThreshold; Termination Counts Threshold
0x00189720; FD; TerminationDensityThreshold; Termination Density Threshold
0x00189721; FD; TerminationRelativeDensityThreshold; Termination Relative Density Threshold
0x00189722; FD; TerminationTimeThreshold; Termination Time Threshold
0x00189723; FD; TerminationCardiacTriggerCountThreshold; Termination Cardiac Trigger Count Threshold
0x00189724; FD; TerminationRespiratoryTriggerCountThreshold; Termination Respiratory Trigger Count Threshold
0x00189725; CS; DetectorGeometry; Detector Geometry
0x00189726; FD; TransverseDetectorSeparation; Transverse Detector Separation
0x00189727; FD; AxialDetectorDimension; Axial Detector Dimension
0x00189729; US; RadiopharmaceuticalAgentNumber; Radiopharmaceutical Agent Number
0x00189732; SQ; PETFrameAcquisitionSequence; PET Frame Acquisition Sequence
0x00189733; SQ; PETDetectorMotionDetailsSequence; PET Detector Motion Details Sequence
0x00189734; SQ; PETTableDynamicsSequence; PET Table Dynamics Sequence
0x00189735; SQ; PETPositionSequence; PET Position Sequence
0x00189736; SQ; PETFrameCorrectionFactorsSequence; PET Frame Correction Factors Sequence
0x00189737; SQ; RadiopharmaceuticalUsageSequence; Radiopharmaceutical Usage Sequence
0x00189738; CS; AttenuationCorrectionSource; Attenuation Correction Source
0x00189739; US; NumberOfIterations; Number of Iterations
0x00189740; US; NumberOfSubsets; Number of Subsets
0x00189749; SQ; PETReconstructionSequence; PET Reconstruction Sequence
0x00189751; SQ; PETFrameTypeSequence; PET Frame Type Sequence
0x00189755; CS; TimeOfFlightInformationUsed; Time of Flight Information Used
0x00189756; CS; ReconstructionType; Reconstruction Type
0x00189758; CS; DecayCorrected; Decay Corrected
0x00189759; CS; AttenuationCorrected; Attenuation Corrected
0x00189760; CS; ScatterCorrected; Scatter Corrected
0x00189761; CS; DeadTimeCorrected; Dead Time Corrected
0x00189762; CS; GantryMotionCorrected; Gantry Motion Corrected
0x00189763; CS; PatientMotionCorrected; Patient Motion Corrected
0x00189764; CS; CountLossNormalizationCorrected; Count Loss Normalization Corrected
0x00189765; CS; RandomsCorrected; Randoms Corrected
0x00189766; CS; NonUniformRadialSamplingCorrected; Non-uniform Radial Sampling Corrected
0x00189767; CS; SensitivityCalibrated; Sensitivity Calibrated
0x00189768; CS; DetectorNormalizationCorrection; Detector Normalization Correction
0x00189769; CS; IterativeReconstructionMethod; Iterative Reconstruction Method
0x00189770; CS; AttenuationCorrectionTemporalRelationship; Attenuation Correction Temporal Relationship
0x00189771; SQ; PatientPhysiologicalStateSequence; Patient Physiological State Sequence
0x00189772; SQ; PatientPhysiologicalStateCodeSequence; Patient Physiological State Code Sequence
0x00189801; FD; DepthsOfFocus; Depth(s) of Focus
0x00189803; SQ; ExcludedIntervalsSequence; Excluded Intervals Sequence
0x00189804; DT; ExclusionStartDateTime; Exclusion Start DateTime
0x00189805; FD; ExclusionDuration; Exclusion Duration
0x00189806; SQ; USImageDescriptionSequence; US Image Description Sequence
0x00189807; SQ; ImageDataTypeSequence; Image Data Type Sequence
0x00189808; CS; DataType; Data Type
0x00189809; SQ; TransducerScanPatternCodeSequence; Transducer Scan Pattern Code Sequence
0x0018980B; CS; AliasedDataType; Aliased Data Type
0x0018980C; CS; PositionMeasuringDeviceUsed; Position Measuring Device Used
0x0018980D; SQ; TransducerGeometryCodeSequence; Transducer Geometry Code Sequence
0x0018980E; SQ; TransducerBeamSteeringCodeSequence; Transducer Beam Steering Code Sequence
0x0018980F; SQ; TransducerApplicationCodeSequence; Transducer Application Code Sequence
0x00189810; US; ZeroVelocityPixelValue; Zero Velocity Pixel Value
0x0018A001; SQ; ContributingEquipmentSequence; Contributing Equipment Sequence
0x0018A002; DT; ContributionDateTime; Contribution DateTime
0x0018A003; ST; ContributionDescription; Contribution Description
0x0020000D; UI; StudyInstanceUID; Study Instance UID
0x0020000E; UI; SeriesInstanceUID; Series Instance UID
0x00200010; SH; StudyID; Study ID
0x00200011; IS; SeriesNumber; Series Number
0x00200012; IS; AcquisitionNumber; Acquisition Number
0x00200013; IS; InstanceNumber; Instance Number
0x00200019; IS; ItemNumber; Item Number
0x00200020; CS; PatientOrientation; Patient Orientation
0x00200032; DS; ImagePositionPatient; Image Position (Patient)
0x00200037; DS; ImageOrientationPatient; Image Orientation (Patient)
0x00200052; UI; FrameOfReferenceUID; Frame of Reference UID
0x00200060; CS; Laterality; Laterality
0x00200062; CS; ImageLaterality; Image Laterality
0x00200100; IS; TemporalPositionIdentifier; Temporal Position Identifier
0x00200105; IS; NumberOfTemporalPositions; Number of Temporal Positions
0x00200110; DS; TemporalResolution; Temporal Resolution
0x00200200; UI; SynchronizationFrameOfReferenceUID; Synchronization Frame of Reference UID
0x00200242; UI; SOPInstanceUIDOfConcatenationSource; SOP Instance UID of Concatenation Source
0x00201002; IS; ImagesInAcquisition; Images in Acquisition
0x00201040; LO; PositionReferenceIndicator; Position Reference Indicator
0x00201041; DS; SliceLocation; Slice Location
0x00201200; IS; NumberOfPatientRelatedStudies; Number of Patient Related Studies
0x00201202; IS; NumberOfPatientRelatedSeries; Number of Patient Related Series
0x00201204; IS; NumberOfPatientRelatedInstances; Number of Patient Related Instances
0x00201206; IS; NumberOfStudyRelatedSeries; Number of Study Related Series
0x00201208; IS; NumberOfStudyRelatedInstances; Number of Study Related Instances
0x00201209; IS; NumberOfSeriesRelatedInstances; Number of Series Related Instances
0x00204000; LT; ImageComments; Image Comments
0x00209056; SH; StackID; Stack ID
0x00209057; UL; InStackPositionNumber; In-Stack Position Number
0x00209071; SQ; FrameAnatomySequence; Frame Anatomy Sequence
0x00209072; CS; FrameLaterality; Frame Laterality
0x00209111; SQ; FrameContentSequence; Frame Content Sequence
0x00209113; SQ; PlanePositionSequence; Plane Position Sequence
0x00209116; SQ; PlaneOrientationSequence; Plane Orientation Sequence
0x00209128; UL; TemporalPositionIndex; Temporal Position Index
0x00209153; FD; NominalCardiacTriggerDelayTime; Nominal Cardiac Trigger Delay Time
0x00209154; FL; NominalCardiacTriggerTimePriorToRPeak; Nominal Cardiac Trigger Time Prior To R-Peak
0x00209155; FL; ActualCardiacTriggerTimePriorToRPeak; Actual Cardiac Trigger Time Prior To R-Peak
0x00209156; US; FrameAcquisitionNumber; Frame Acquisition Number
0x00209157; UL; DimensionIndexValues; Dimension Index Values
0x00209158; LT; FrameComments; Frame Comments
0x00209161; UI; ConcatenationUID; Concatenation UID
0x00209162; US; InConcatenationNumber; In-concatenation Number
0x00209163; US; InConcatenationTotalNumber; In-concatenation Total Number
0x00209164; UI; DimensionOrganizationUID; Dimension Organization UID
0x00209165; AT; DimensionIndexPointer; Dimension Index Pointer
0x00209167; AT; FunctionalGroupPointer; Functional Group Pointer
0x00209170; SQ; UnassignedSharedConvertedAttributesSequence; Unassigned Shared Converted Attributes Sequence
0x00209171; SQ; UnassignedPerFrameConvertedAttributesSequence; Unassigned Per-Frame Converted Attributes Sequence
0x00209172; SQ; ConversionSourceAttributesSequence; Conversion Source Attributes Sequence
0x00209213; LO; DimensionIndexPrivateCreator; Dimension Index Private Creator
0x00209221; SQ; DimensionOrganizationSequence; Dimension Organization Sequence
0x00209222; SQ; DimensionIndexSequence; Dimension Index Sequence
0x00209228; UL; ConcatenationFrameOffsetNumber; Concatenation Frame Offset Number
0x00209238; LO; FunctionalGroupPrivateCreator; Functional Group Private Creator
0x00209241; FL; NominalPercentageOfCardiacPhase; Nominal Percentage of Cardiac Phase
0x00209245; FL; NominalPercentageOfRespiratoryPhase; Nominal Percentage of Respiratory Phase
0x00209246; FL; StartingRespiratoryAmplitude; Starting Respiratory Amplitude
0x00209247; CS; StartingRespiratoryPhase; Starting Respiratory Phase
0x00209248; FL; EndingRespiratoryAmplitude; Ending Respiratory Amplitude
0x00209249; CS; EndingRespiratoryPhase; Ending Respiratory Phase
0x00209250; CS; RespiratoryTriggerType; Respiratory Trigger Type
0x00209251; FD; RRIntervalTimeNominal; R-R Interval Time Nominal
0x00209252; FD; ActualCardiacTriggerDelayTime; Actual Cardiac Trigger Delay Time
0x00209253; SQ; RespiratorySynchronizationSequence; Respiratory Synchronization Sequence
0x00209254; FD; RespiratoryIntervalTime; Respiratory Interval Time
0x00209255; FD; NominalRespiratoryTriggerDelayTime; Nominal Respiratory Trigger Delay Time
0x00209256; FD; RespiratoryTriggerDelayThreshold; Respiratory Trigger Delay Threshold
0x00209257; FD; ActualRespiratoryTriggerDelayTime; Actual Respiratory Trigger Delay Time
0x00209301; FD; ImagePositionVolume; Image Position (Volume)
0x00209302; FD; ImageOrientationVolume; Image Orientation (Volume)
0x00209307; CS; UltrasoundAcquisitionGeometry; Ultrasound Acquisition Geometry
0x00209308; FD; ApexPosition; Apex Position
0x00209309; FD; VolumeToTransducerMappingMatrix; Volume to Transducer Mapping Matrix
0x0020930A; FD; VolumeToTableMappingMatrix; Volume to Table Mapping Matrix
0x0020930B; CS; VolumeToTransducerRelationship; Volume to Transducer Relationship
0x0020930C; CS; PatientFrameOfReferenceSource; Patient Frame of Reference Source
0x0020930D; FD; TemporalPositionTimeOffset; Temporal Position Time Offset
0x0020930E; SQ; PlanePositionVolumeSequence; Plane Position (Volume) Sequence
0x0020930F; SQ; PlaneOrientationVolumeSequence; Plane Orientation (Volume) Sequence
0x00209310; SQ; TemporalPositionSequence; Temporal Position Sequence
0x00209311; CS; DimensionOrganizationType; Dimension Organization Type
0x00209312; UI; VolumeFrameOfReferenceUID; Volume Frame of Reference UID
0x00209313; UI; TableFrameOfReferenceUID; Table Frame of Reference UID
0x00209421; LO; DimensionDescriptionLabel; Dimension Description Label
0x00209450; SQ; PatientOrientationInFrameSequence; Patient Orientation in Frame Sequence
0x00209453; LO; FrameLabel; Frame Label
0x00209518; US; AcquisitionIndex; Acquisition Index
0x00209529; SQ; ContributingSOPInstancesReferenceSequence; Contributing SOP Instances Reference Sequence
0x00209536; US; ReconstructionIndex; Reconstruction Index
0x00220001; US; LightPathFilterPassThroughWavelength; Light Path Filter Pass-Through Wavelength
0x00220002; US; LightPathFilterPassBand; Light Path Filter Pass Band
0x00220003; US; ImagePathFilterPassThroughWavelength; Image Path Filter Pass-Through Wavelength
0x00220004; US; ImagePathFilterPassBand; Image Path Filter Pass Band
0x00220005; CS; PatientEyeMovementCommanded; Patient Eye Movement Commanded
0x00220006; SQ; PatientEyeMovementCommandCodeSequence; Patient Eye Movement Command Code Sequence
0x00220007; FL; SphericalLensPower; Spherical Lens Power
0x00220008; FL; CylinderLensPower; Cylinder Lens Power
0x00220009; FL; CylinderAxis; Cylinder Axis
0x0022000A; FL; EmmetropicMagnification; Emmetropic Magnification
0x0022000B; FL; IntraOcularPressure; Intra Ocular Pressure
0x0022000C; FL; HorizontalFieldOfView; Horizontal Field of View
0x0022000D; CS; PupilDilated; Pupil Dilated
0x0022000E; FL; DegreeOfDilation; Degree of Dilation
